               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,            0.012879,           0.0073694,           0.0039702,             0.97062,             0.98571,             0.98857,             0.90607,            0.010445,           0.0048049,           0.0027228,           0.0010075,           0.0010075,           0.0010075
                 111,            0.012694,           0.0073671,           0.0038895,             0.97242,             0.98376,             0.98859,             0.90614,            0.010424,           0.0047955,           0.0027005,            0.000925,            0.000925,            0.000925
                 112,            0.012648,           0.0072367,           0.0037171,             0.97322,             0.98312,             0.98863,              0.9064,            0.010416,           0.0047873,           0.0026779,           0.0008425,           0.0008425,           0.0008425
                 113,            0.012398,           0.0072228,           0.0036464,             0.97329,             0.98309,             0.98866,             0.90676,            0.010404,           0.0047793,           0.0026546,             0.00076,             0.00076,             0.00076
                 114,            0.012282,           0.0071815,           0.0036421,             0.97356,             0.98299,             0.98869,             0.90687,             0.01039,           0.0047703,           0.0026318,           0.0006775,           0.0006775,           0.0006775
                 115,            0.012117,           0.0072561,           0.0035721,             0.97406,             0.98264,             0.98872,             0.90738,            0.010367,           0.0047613,           0.0026078,            0.000595,            0.000595,            0.000595
                 116,            0.011969,           0.0070961,           0.0035309,             0.97572,             0.98104,             0.98876,             0.90751,            0.010348,           0.0047546,           0.0025841,           0.0005125,           0.0005125,           0.0005125
                 117,            0.011852,           0.0070684,            0.003463,             0.97519,             0.98162,             0.98878,             0.90766,             0.01033,            0.004746,             0.00256,             0.00043,             0.00043,             0.00043
                 118,              0.0117,            0.007076,            0.003508,             0.97524,             0.98167,             0.98879,             0.90792,            0.010312,           0.0047384,           0.0025347,           0.0003475,           0.0003475,           0.0003475
                 119,            0.011454,            0.006968,           0.0033737,             0.97379,              0.9834,             0.98881,             0.90808,            0.010301,           0.0047326,           0.0025095,            0.000265,            0.000265,            0.000265
